Type,School Year,County,District,School,Agency Name,ELL Percentage,DataAsOf
DI,20122013,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.0512,06/21/2013
DI,20132014,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.0281,07/07/2014
DI,20142015,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.0272,06/23/2015
DI,20152016,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.0303,11/16/2016
SC,20112012,02,2001,002,CLEARWATER ELEMENTARY SCHOOL,0.1538,05/21/2013
SC,20122013,02,2001,002,CLEARWATER ELEMENTARY SCHOOL,0.1235,06/21/2013
SC,20132014,02,2001,002,CLEARWATER ELEMENTARY SCHOOL,-1.0000,07/07/2014
SC,20142015,02,2001,002,CLEARWATER ELEMENTARY SCHOOL,-1.0000,06/23/2015
SC,20152016,02,2001,002,CLEARWATER ELEMENTARY SCHOOL,-1.0000,11/16/2016
SC,20112012,02,2001,004,ORCHARD ELEMENTARY SCHOOL,-1.0000,05/21/2013
SC,20122013,02,2001,004,ORCHARD ELEMENTARY SCHOOL,-1.0000,06/21/2013
SC,20132014,02,2001,004,ORCHARD ELEMENTARY SCHOOL,-1.0000,07/07/2014
SC,20142015,02,2001,004,ORCHARD ELEMENTARY SCHOOL,-1.0000,06/23/2015
SC,20152016,02,2001,004,ORCHARD ELEMENTARY SCHOOL,-1.0000,11/16/2016
SC,20112012,02,2001,006,VERDIGRE ELEMENTARY SCHOOL,-1.0000,05/21/2013
SC,20122013,02,2001,006,VERDIGRE ELEMENTARY SCHOOL,-1.0000,06/21/2013
SC,20132014,02,2001,006,VERDIGRE ELEMENTARY SCHOOL,-1.0000,07/07/2014
SC,20142015,02,2001,006,VERDIGRE ELEMENTARY SCHOOL,-1.0000,06/23/2015
SC,20152016,02,2001,006,VERDIGRE ELEMENTARY SCHOOL,-1.0000,11/16/2016
SC,20112012,02,2001,007,CLEARWATER/ORCHARD MIDDLE SCHOOL,-1.0000,05/21/2013
SC,20122013,02,2001,007,CLEARWATER/ORCHARD MIDDLE SCHOOL,-1.0000,06/21/2013
SC,20132014,02,2001,007,CLEARWATER/ORCHARD MIDDLE SCHOOL,-1.0000,07/07/2014
SC,20142015,02,2001,007,CLEARWATER/ORCHARD MIDDLE SCHOOL,-1.0000,06/23/2015
SC,20152016,02,2001,007,CLEARWATER/ORCHARD MIDDLE SCHOOL,-1.0000,11/16/2016
SC,20112012,02,2001,008,CLEARWATER/ORCHARD HIGH SCHOOL,-1.0000,05/21/2013
SC,20122013,02,2001,008,CLEARWATER/ORCHARD HIGH SCHOOL,-1.0000,06/21/2013
SC,20132014,02,2001,008,CLEARWATER/ORCHARD HIGH SCHOOL,-1.0000,07/07/2014
SC,20142015,02,2001,008,CLEARWATER/ORCHARD HIGH SCHOOL,-1.0000,06/23/2015
SC,20152016,02,2001,008,CLEARWATER/ORCHARD HIGH SCHOOL,-1.0000,11/16/2016
SC,20112012,02,2001,009,VERDIGRE HIGH SCHOOL,-1.0000,05/21/2013
SC,20122013,02,2001,009,VERDIGRE HIGH SCHOOL,-1.0000,06/21/2013
SC,20132014,02,2001,009,VERDIGRE HIGH SCHOOL,-1.0000,07/07/2014
SC,20142015,02,2001,009,VERDIGRE HIGH SCHOOL,-1.0000,06/23/2015
SC,20152016,02,2001,009,VERDIGRE HIGH SCHOOL,-1.0000,11/16/2016
SC,20112012,02,2001,010,VERDIGRE MIDDLE SCHOOL,-1.0000,05/21/2013
SC,20122013,02,2001,010,VERDIGRE MIDDLE SCHOOL,-1.0000,06/21/2013
SC,20132014,02,2001,010,VERDIGRE MIDDLE SCHOOL,-1.0000,07/07/2014
SC,20142015,02,2001,010,VERDIGRE MIDDLE SCHOOL,-1.0000,06/23/2015
SC,20152016,02,2001,010,VERDIGRE MIDDLE SCHOOL,-1.0000,11/16/2016
DI,20112012,03,0500,000,ARTHUR COUNTY SCHOOLS,-1.0000,05/21/2013
DI,20122013,03,0500,000,ARTHUR COUNTY SCHOOLS,-1.0000,06/21/2013
DI,20132014,03,0500,000,ARTHUR COUNTY SCHOOLS,-1.0000,07/07/2014
DI,20142015,03,0500,000,ARTHUR COUNTY SCHOOLS,-1.0000,06/23/2015
DI,20152016,03,0500,000,ARTHUR COUNTY SCHOOLS,-1.0000,11/16/2016
SC,20112012,03,0500,001,ARTHUR COUNTY HIGH SCHOOL,-1.0000,05/21/2013
SC,20122013,03,0500,001,ARTHUR COUNTY HIGH SCHOOL,-1.0000,06/21/2013
SC,20132014,03,0500,001,ARTHUR COUNTY HIGH SCHOOL,-1.0000,07/07/2014
SC,20142015,03,0500,001,ARTHUR COUNTY HIGH SCHOOL,-1.0000,06/23/2015
SC,20152016,03,0500,001,ARTHUR COUNTY HIGH SCHOOL,-1.0000,11/16/2016
SC,20112012,03,0500,002,ARTHUR ELEM SCH - LOWER,-1.0000,05/21/2013
SC,20122013,03,0500,002,ARTHUR ELEM SCH - LOWER,-1.0000,06/21/2013
SC,20132014,03,0500,002,ARTHUR ELEM SCH - LOWER,-1.0000,07/07/2014
SC,20142015,03,0500,002,ARTHUR ELEM SCH - LOWER,-1.0000,06/23/2015
SC,20152016,03,0500,002,ARTHUR ELEM SCH - LOWER,-1.0000,11/16/2016
DI,20112012,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,-1.0000,05/21/2013
DI,20122013,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,-1.0000,06/21/2013
DI,20132014,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,-1.0000,07/07/2014
DI,20142015,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,-1.0000,06/23/2015
DI,20152016,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,-1.0000,11/16/2016
SC,20112012,04,0001,001,BANNER COUNTY HIGH SCHOOL,-1.0000,05/21/2013
SC,20122013,04,0001,001,BANNER COUNTY HIGH SCHOOL,-1.0000,06/21/2013
SC,20132014,04,0001,001,BANNER COUNTY HIGH SCHOOL,-1.0000,07/07/2014
SC,20142015,04,0001,001,BANNER COUNTY HIGH SCHOOL,-1.0000,06/23/2015
SC,20152016,04,0001,001,BANNER COUNTY HIGH SCHOOL,-1.0000,11/16/2016
SC,20112012,04,0001,002,BANNER COUNTY ELEMENTARY SCHOOL,-1.0000,05/21/2013
SC,20122013,04,0001,002,BANNER COUNTY ELEMENTARY SCHOOL,-1.0000,06/21/2013
SC,20132014,04,0001,002,BANNER COUNTY ELEMENTARY SCHOOL,-1.0000,07/07/2014
SC,20142015,04,0001,002,BANNER COUNTY ELEMENTARY SCHOOL,-1.0000,06/23/2015
SC,20152016,04,0001,002,BANNER COUNTY ELEMENTARY SCHOOL,-1.0000,11/16/2016
DI,20112012,05,0071,000,SANDHILLS PUBLIC SCHOOLS,-1.0000,05/21/2013
DI,20122013,05,0071,000,SANDHILLS PUBLIC SCHOOLS,-1.0000,06/21/2013
DI,20132014,05,0071,000,SANDHILLS PUBLIC SCHOOLS,-1.0000,07/07/2014
DI,20142015,05,0071,000,SANDHILLS PUBLIC SCHOOLS,-1.0000,06/23/2015
DI,20152016,05,0071,000,SANDHILLS PUBLIC SCHOOLS,-1.0000,11/16/2016
SC,20112012,05,0071,001,HIGH SCHOOL AT DUNNING,-1.0000,05/21/2013
SC,20122013,05,0071,001,HIGH SCHOOL AT DUNNING,-1.0000,06/21/2013
SC,20132014,05,0071,001,HIGH SCHOOL AT DUNNING,-1.0000,07/07/2014
SC,20142015,05,0071,001,HIGH SCHOOL AT DUNNING,-1.0000,06/23/2015
SC,20152016,05,0071,001,HIGH SCHOOL AT DUNNING,-1.0000,11/16/2016
SC,20112012,05,0071,002,ELEMENTARY SCHOOL AT HALSEY,-1.0000,05/21/2013
SC,20122013,05,0071,002,ELEMENTARY SCHOOL AT HALSEY,-1.0000,06/21/2013
SC,20132014,05,0071,002,ELEMENTARY SCHOOL AT HALSEY,-1.0000,07/07/2014
SC,20142015,05,0071,002,ELEMENTARY SCHOOL AT HALSEY,-1.0000,06/23/2015
SC,20152016,05,0071,002,ELEMENTARY SCHOOL AT HALSEY,-1.0000,11/16/2016
DI,20112012,06,0001,000,BOONE CENTRAL SCHOOLS,-1.0000,05/21/2013
DI,20122013,06,0001,000,BOONE CENTRAL SCHOOLS,-1.0000,06/21/2013
DI,20132014,06,0001,000,BOONE CENTRAL SCHOOLS,-1.0000,07/07/2014
DI,20142015,06,0001,000,BOONE CENTRAL SCHOOLS,-1.0000,06/23/2015
DI,20152016,06,0001,000,BOONE CENTRAL SCHOOLS,-1.0000,11/16/2016
SC,20112012,06,0001,001,BOONE CENTRAL HIGH SCHOOL,-1.0000,05/21/2013
SC,20122013,06,0001,001,BOONE CENTRAL HIGH SCHOOL,-1.0000,06/21/2013
SC,20132014,06,0001,001,BOONE CENTRAL HIGH SCHOOL,-1.0000,07/07/2014
SC,20142015,06,0001,001,BOONE CENTRAL HIGH SCHOOL,-1.0000,06/23/2015
SC,20152016,06,0001,001,BOONE CENTRAL HIGH SCHOOL,-1.0000,11/16/2016
SC,20112012,06,0001,002,BOONE CENTRAL ELEM-ALBION,-1.0000,05/21/2013
SC,20122013,06,0001,002,BOONE CENTRAL ELEM-ALBION,-1.0000,06/21/2013
SC,20132014,06,0001,002,BOONE CENTRAL ELEM-ALBION,-1.0000,07/07/2014
SC,20142015,06,0001,002,BOONE CENTRAL ELEM-ALBION,-1.0000,06/23/2015
SC,20152016,06,0001,002,BOONE CENTRAL ELEM-ALBION,-1.0000,11/16/2016
SC,20112012,06,0001,004,BOONE CENTRAL MIDDLE SCHOOL,-1.0000,05/21/2013
SC,20122013,06,0001,004,BOONE CENTRAL MIDDLE SCHOOL,-1.0000,06/21/2013
SC,20132014,06,0001,004,BOONE CENTRAL MIDDLE SCHOOL,-1.0000,07/07/2014
SC,20142015,06,0001,004,BOONE CENTRAL MIDDLE SCHOOL,-1.0000,06/23/2015
SC,20152016,06,0001,004,BOONE CENTRAL MIDDLE SCHOOL,-1.0000,11/16/2016
SC,20112012,06,0001,006,ABC PRESCHOOL,-1.0000,05/21/2013
SC,20122013,06,0001,006,ABC PRESCHOOL,-1.0000,06/21/2013
SC,20132014,06,0001,006,ABC PRESCHOOL,-1.0000,07/07/2014
SC,20142015,06,0001,006,ABC PRESCHOOL,-1.0000,06/23/2015
SC,20152016,06,0001,006,ABC PRESCHOOL,-1.0000,11/16/2016
DI,20112012,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOLS,-1.0000,05/21/2013
DI,20122013,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOL,-1.0000,06/21/2013
DI,20132014,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOL,-1.0000,07/07/2014
SC,20112012,06,0006,001,CEDAR RAPIDS JR-SR HIGH,-1.0000,05/21/2013
SC,20122013,06,0006,001,CEDAR RAPIDS JR-SR HIGH,-1.0000,06/21/2013
SC,20132014,06,0006,001,CEDAR RAPIDS JR-SR HIGH,-1.0000,07/07/2014
SC,20112012,06,0006,002,CEDAR RAPIDS ELEMENTARY SCHOOL,-1.0000,05/21/2013
SC,20122013,06,0006,002,CEDAR RAPIDS ELEMENTARY SCHOOL,-1.0000,06/21/2013
SC,20132014,06,0006,002,CEDAR RAPIDS ELEMENTARY SCHOOL,-1.0000,07/07/2014
DI,20112012,06,0017,000,ST EDWARD PUBLIC SCHOOLS,-1.0000,05/21/2013
DI,20122013,06,0017,000,ST EDWARD PUBLIC SCHOOLS,-1.0000,06/21/2013
DI,20132014,06,0017,000,ST EDWARD PUBLIC SCHOOLS,-1.0000,07/07/2014
DI,20142015,06,0017,000,ST EDWARD PUBLIC SCHOOLS,-1.0000,06/23/2015
DI,20152016,06,0017,000,ST EDWARD PUBLIC SCHOOLS,-1.0000,11/16/2016
SC,20112012,06,0017,001,ST EDWARD HIGH SCHOOL,-1.0000,05/21/2013
SC,20122013,06,0017,001,ST EDWARD HIGH SCHOOL,-1.0000,06/21/2013
SC,20132014,06,0017,001,ST EDWARD HIGH SCHOOL,-1.0000,07/07/2014
SC,20142015,06,0017,001,ST EDWARD HIGH SCHOOL,-1.0000,06/23/2015
SC,20152016,06,0017,001,ST EDWARD HIGH SCHOOL,-1.0000,11/16/2016
SC,20112012,06,0017,002,ST EDWARD ELEMENTARY SCHOOL,-1.0000,05/21/2013
SC,20122013,06,0017,002,ST EDWARD ELEMENTARY SCHOOL,-1.0000,06/21/2013
SC,20132014,06,0017,002,ST EDWARD ELEMENTARY SCHOOL,-1.0000,07/07/2014
SC,20142015,06,0017,002,ST EDWARD ELEMENTARY SCHOOL,-1.0000,06/23/2015
SC,20152016,06,0017,002,ST EDWARD ELEMENTARY SCHOOL,-1.0000,11/16/2016
