Type,School Year,County,District,School,Agency Name,Average Teacher Salary,Average Years of Teaching Experience,Masters Count,Percentage of Teachers with Master’s Degrees,Teacher FTE,AM_5,AS_5,BL_5,HI_5,WH_5,AM_7,AS_7,BL_7,HI_7,PI_7,WH_7,MU_7,DataAsOf
SC,20142015,02,0009,002,ELEM SCHOOL AT NELIGH-OAKDALE,47804,18.55,9,0.4091,19.75,,,,,,0.00,0.00,0.00,0.00,0.00,19.75,0.00,08/19/2015
SC,20152016,02,0009,002,ELEM SCHOOL AT NELIGH-OAKDALE,50368,18.41,11,0.5000,19.75,,,,,,0.00,0.00,0.00,0.00,0.00,19.75,0.00,11/16/2016
DI,20112012,02,0018,000,ELGIN PUBLIC SCHOOLS,44587,20.04,13,0.5652,21.35,,,,,,0.00,0.00,0.00,0.00,0.00,21.35,0.00,11/26/2012
DI,20122013,02,0018,000,ELGIN PUBLIC SCHOOLS,45785,21.61,13,0.5652,21.35,,,,,,0.00,0.00,0.00,0.00,0.00,21.35,0.00,07/05/2013
DI,20132014,02,0018,000,ELGIN PUBLIC SCHOOLS,42068,16.30,10,0.4348,21.62,,,,,,0.00,0.00,0.00,0.00,0.00,21.62,0.00,07/07/2014
DI,20142015,02,0018,000,ELGIN PUBLIC SCHOOLS,44074,17.30,10,0.4348,21.62,,,,,,0.00,0.00,0.00,0.00,0.00,21.62,0.00,08/19/2015
DI,20152016,02,0018,000,ELGIN PUBLIC SCHOOLS,46699,19.39,10,0.4348,21.28,,,,,,0.00,0.00,0.00,0.00,0.00,21.28,0.00,11/16/2016
SC,20112012,02,0018,001,ELGIN HIGH SCHOOL,45458,19.56,9,0.5625,10.40,,,,,,0.00,0.00,0.00,0.00,0.00,10.40,0.00,11/26/2012
SC,20122013,02,0018,001,ELGIN HIGH SCHOOL,46846,20.87,9,0.6000,10.05,,,,,,0.00,0.00,0.00,0.00,0.00,10.05,0.00,07/05/2013
SC,20132014,02,0018,001,ELGIN HIGH SCHOOL,39802,13.47,5,0.3333,10.32,,,,,,0.00,0.00,0.00,0.00,0.00,10.32,0.00,07/07/2014
SC,20142015,02,0018,001,ELGIN HIGH SCHOOL,41894,14.47,5,0.3333,10.32,,,,,,0.00,0.00,0.00,0.00,0.00,10.32,0.00,08/19/2015
SC,20152016,02,0018,001,ELGIN HIGH SCHOOL,43886,16.00,4,0.2857,10.74,,,,,,0.00,0.00,0.00,0.00,0.00,10.74,0.00,11/16/2016
SC,20112012,02,0018,002,ELGIN ELEMENTARY SCHOOL,43810,20.92,6,0.4615,10.95,,,,,,0.00,0.00,0.00,0.00,0.00,10.95,0.00,11/26/2012
SC,20122013,02,0018,002,ELGIN ELEMENTARY SCHOOL,44884,21.85,6,0.4615,11.30,,,,,,0.00,0.00,0.00,0.00,0.00,11.30,0.00,07/05/2013
SC,20132014,02,0018,002,ELGIN ELEMENTARY SCHOOL,44072,19.15,7,0.5385,11.30,,,,,,0.00,0.00,0.00,0.00,0.00,11.30,0.00,07/07/2014
SC,20142015,02,0018,002,ELGIN ELEMENTARY SCHOOL,45937,20.15,7,0.5385,11.30,,,,,,0.00,0.00,0.00,0.00,0.00,11.30,0.00,08/19/2015
SC,20152016,02,0018,002,ELGIN ELEMENTARY SCHOOL,48339,21.15,7,0.5385,10.54,,,,,,0.00,0.00,0.00,0.00,0.00,10.54,0.00,11/16/2016
DI,20112012,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,43546,19.69,19,0.3519,50.45,,,,,,0.00,0.00,0.00,0.00,0.00,50.45,0.00,11/26/2012
DI,20122013,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,44543,21.57,19,0.3519,50.42,,,,,,0.00,0.00,0.00,0.00,0.00,50.42,0.00,07/05/2013
DI,20132014,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,45919,22.24,22,0.4000,51.92,,,,,,0.00,0.00,0.00,0.00,0.00,51.92,0.00,07/07/2014
DI,20142015,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,45603,20.44,23,0.4182,52.38,,,,,,0.00,0.00,0.00,0.00,0.00,52.38,0.00,08/19/2015
DI,20152016,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,44964,16.91,22,0.3793,53.82,,,,,,0.00,0.00,0.00,0.00,0.00,53.82,0.00,11/16/2016
SC,20112012,02,2001,002,CLEARWATER ELEMENTARY SCHOOL,42232,16.23,4,0.3077,7.48,,,,,,0.00,0.00,0.00,0.00,0.00,7.48,0.00,11/26/2012
SC,20122013,02,2001,002,CLEARWATER ELEMENTARY SCHOOL,43593,18.00,4,0.3077,7.48,,,,,,0.00,0.00,0.00,0.00,0.00,7.48,0.00,07/05/2013
SC,20132014,02,2001,002,CLEARWATER ELEMENTARY SCHOOL,44838,18.14,5,0.3571,8.56,,,,,,0.00,0.00,0.00,0.00,0.00,8.56,0.00,07/07/2014
