Type,School Year,County,District,School,Agency Name,Average Teacher Salary,Average Years of Teaching Experience,Masters Count,Percentage of Teachers with Master’s Degrees,Teacher FTE,AM_5,AS_5,BL_5,HI_5,WH_5,AM_7,AS_7,BL_7,HI_7,PI_7,WH_7,MU_7,DataAsOf 
SC,20142015,77,0001,007,BERTHA BARBER ELEMENTARY SCH,55081,16.11,14,0.7778,14.50,,,,,,0.00,0.00,1.00,0.00,0.00,13.50,0.00,08/19/2015
SC,20152016,77,0001,007,BERTHA BARBER ELEMENTARY SCH,52253,14.39,12,0.6667,14.60,,,,,,0.00,0.00,1.00,0.00,0.00,13.60,0.00,11/16/2016
SC,20112012,77,0001,008,BETZ ELEMENTARY SCHOOL,46758,11.52,14,0.4828,24.65,,,,,,0.00,0.00,0.00,1.50,0.00,23.15,0.00,11/26/2012
SC,20122013,77,0001,008,BETZ ELEMENTARY SCHOOL,50359,13.13,19,0.6333,25.24,,,,,,0.00,0.00,0.00,1.00,0.00,24.24,0.00,07/05/2013
SC,20132014,77,0001,008,BETZ ELEMENTARY SCHOOL,49041,13.14,16,0.5517,24.65,,,,,,0.00,0.00,0.00,0.00,0.00,24.65,0.00,07/07/2014
SC,20142015,77,0001,008,BETZ ELEMENTARY SCHOOL,48698,12.07,14,0.5185,22.90,,,,,,0.00,0.00,0.00,0.00,0.00,22.90,0.00,08/19/2015
SC,20152016,77,0001,008,BETZ ELEMENTARY SCHOOL,47867,12.07,14,0.5000,23.74,,,,,,0.00,0.00,1.00,0.00,0.00,22.74,0.00,11/16/2016
SC,20112012,77,0001,009,CENTRAL ELEMENTARY SCHOOL,46452,12.00,5,0.3125,11.67,,,,,,0.00,0.00,0.00,0.25,0.00,11.42,0.00,11/26/2012
SC,20122013,77,0001,009,CENTRAL ELEMENTARY SCHOOL,47323,12.00,6,0.3750,11.75,,,,,,0.00,0.00,0.00,0.25,0.00,11.50,0.00,07/05/2013
SC,20132014,77,0001,009,CENTRAL ELEMENTARY SCHOOL,48689,12.88,9,0.5625,11.50,,,,,,0.00,0.00,0.00,0.00,0.00,11.50,0.00,07/07/2014
SC,20142015,77,0001,009,CENTRAL ELEMENTARY SCHOOL,51379,14.25,10,0.6250,11.50,,,,,,0.00,0.00,0.00,0.00,0.00,11.50,0.00,08/19/2015
SC,20152016,77,0001,009,CENTRAL ELEMENTARY SCHOOL,52808,15.69,10,0.6250,11.58,,,,,,0.00,0.00,0.00,0.00,0.00,11.58,0.00,11/16/2016
SC,20112012,77,0001,010,PETER SARPY ELEMENTARY SCHOOL,47639,14.45,13,0.4483,25.75,,,,,,0.00,0.00,0.00,0.00,0.00,25.75,0.00,11/26/2012
SC,20122013,77,0001,010,PETER SARPY ELEMENTARY SCHOOL,48290,14.66,13,0.4483,26.28,,,,,,0.00,0.00,0.00,0.00,0.00,26.28,0.00,07/05/2013
SC,20132014,77,0001,010,PETER SARPY ELEMENTARY SCHOOL,47471,12.67,13,0.4333,26.70,,,,,,0.00,0.00,0.00,0.00,0.00,26.70,0.00,07/07/2014
SC,20142015,77,0001,010,PETER SARPY ELEMENTARY SCHOOL,49613,13.38,14,0.4828,25.70,,,,,,0.00,0.00,0.00,0.00,0.00,25.70,0.00,08/19/2015
SC,20152016,77,0001,010,PETER SARPY ELEMENTARY SCHOOL,50408,14.00,14,0.4667,26.70,,,,,,0.00,0.00,0.00,0.00,0.00,26.70,0.00,11/16/2016
SC,20112012,77,0001,011,BIRCHCREST ELEMENTARY SCHOOL,46737,13.44,17,0.4722,32.36,,,,,,0.00,0.00,1.00,2.00,0.00,29.36,0.00,11/26/2012
SC,20122013,77,0001,011,BIRCHCREST ELEMENTARY SCHOOL,45396,10.17,13,0.4333,23.95,,,,,,0.00,0.00,0.00,2.00,0.00,21.95,0.00,07/05/2013
SC,20132014,77,0001,011,BIRCHCREST ELEMENTARY SCHOOL,45175,10.59,12,0.4138,25.60,,,,,,0.00,0.00,1.00,0.00,0.00,24.60,0.00,07/07/2014
SC,20142015,77,0001,011,BIRCHCREST ELEMENTARY SCHOOL,44584,8.97,13,0.4483,24.85,,,,,,0.00,0.00,1.00,1.00,0.00,22.85,0.00,08/19/2015
SC,20152016,77,0001,011,BIRCHCREST ELEMENTARY SCHOOL,45786,9.33,15,0.5000,25.33,,,,,,0.00,0.00,0.00,0.48,0.00,24.85,0.00,11/16/2016
SC,20112012,77,0001,012,FORT CROOK ELEMENTARY SCHOOL,48497,14.92,11,0.4400,20.65,,,,,,0.50,0.00,1.60,0.00,0.00,18.55,0.00,11/26/2012
SC,20122013,77,0001,012,FORT CROOK ELEMENTARY SCHOOL,50489,15.63,13,0.5417,19.49,,,,,,0.00,0.00,1.60,0.00,0.00,16.89,1.00,07/05/2013
SC,20132014,77,0001,012,FORT CROOK ELEMENTARY SCHOOL,51837,15.17,17,0.7083,20.40,,,,,,1.00,1.00,1.60,0.00,0.00,16.80,0.00,07/07/2014
SC,20142015,77,0001,012,FORT CROOK ELEMENTARY SCHOOL,52005,15.92,17,0.6538,21.20,,,,,,1.00,1.00,1.60,0.00,0.00,17.60,0.00,08/19/2015
SC,20152016,77,0001,012,FORT CROOK ELEMENTARY SCHOOL,48333,12.20,14,0.5600,20.48,,,,,,1.00,0.00,1.00,0.00,0.00,18.48,0.00,11/16/2016
SC,20112012,77,0001,013,TWIN RIDGE ELEMENTARY SCHOOL,48478,13.04,12,0.4800,20.63,,,,,,0.00,0.00,0.00,0.00,0.00,20.63,0.00,11/26/2012
SC,20122013,77,0001,013,TWIN RIDGE ELEMENTARY SCHOOL,48735,12.56,15,0.5556,20.18,,,,,,0.00,0.00,0.00,0.00,0.00,20.18,0.00,07/05/2013
SC,20132014,77,0001,013,TWIN RIDGE ELEMENTARY SCHOOL,49325,12.30,13,0.4815,20.80,,,,,,0.00,0.00,0.00,0.00,0.00,20.80,0.00,07/07/2014
SC,20142015,77,0001,013,TWIN RIDGE ELEMENTARY SCHOOL,49741,12.96,13,0.5000,20.80,,,,,,0.00,1.00,0.00,0.00,0.00,19.80,0.00,08/19/2015
SC,20152016,77,0001,013,TWIN RIDGE ELEMENTARY SCHOOL,50790,12.50,16,0.5714,21.98,,,,,,0.00,1.00,0.00,0.00,0.00,20.98,0.00,11/16/2016
SC,20112012,77,0001,014,WAKE ROBIN ELEMENTARY SCHOOL,50262,15.63,19,0.6333,24.76,,,,,,0.00,0.00,0.00,0.00,0.00,24.76,0.00,11/26/2012
SC,20122013,77,0001,014,WAKE ROBIN ELEMENTARY SCHOOL,54336,19.00,26,0.7647,29.99,,,,,,0.00,0.00,0.00,0.00,0.00,29.99,0.00,07/05/2013
SC,20132014,77,0001,014,WAKE ROBIN ELEMENTARY SCHOOL,55520,18.57,25,0.6757,33.11,,,,,,0.00,0.00,1.00,0.00,0.00,32.11,0.00,07/07/2014
SC,20142015,77,0001,014,WAKE ROBIN ELEMENTARY SCHOOL,53228,15.67,22,0.6111,31.86,,,,,,0.00,0.00,0.00,0.00,0.00,31.86,0.00,08/19/2015
SC,20152016,77,0001,014,WAKE ROBIN ELEMENTARY SCHOOL,51820,14.14,21,0.5833,32.39,,,,,,0.00,0.00,0.00,0.00,0.00,32.39,0.00,11/16/2016
SC,20112012,77,0001,015,LEMAY ELEMENTARY SCHOOL,48183,13.03,17,0.5667,26.25,,,,,,0.00,0.00,0.00,0.00,0.00,26.25,0.00,11/26/2012
SC,20122013,77,0001,015,LEMAY ELEMENTARY SCHOOL,48111,12.57,18,0.6000,26.58,,,,,,0.00,0.00,1.00,0.00,0.00,25.58,0.00,07/05/2013
SC,20132014,77,0001,015,LEMAY ELEMENTARY SCHOOL,46643,11.66,15,0.5172,26.20,,,,,,0.00,0.00,1.00,0.00,0.00,25.20,0.00,07/07/2014
SC,20142015,77,0001,015,LEMAY ELEMENTARY SCHOOL,47820,12.28,14,0.4828,26.20,,,,,,0.00,0.00,0.00,0.00,0.00,26.20,0.00,08/19/2015
SC,20152016,77,0001,015,LEMAY ELEMENTARY SCHOOL,47739,12.38,15,0.5172,26.18,,,,,,0.00,0.00,0.00,0.00,0.00,26.18,0.00,11/16/2016
SC,20112012,77,0001,016,CHAP CENTER,47879,13.20,5,0.5000,5.92,,,,,,0.00,0.00,0.00,0.00,0.00,5.92,0.00,11/26/2012
SC,20122013,77,0001,016,CHAP CENTER,45185,11.33,1,0.3333,2.25,,,,,,0.00,0.00,0.00,0.00,0.00,2.25,0.00,07/05/2013
SC,20132014,77,0001,016,CHAP CENTER,44705,11.56,3,0.3333,6.85,,,,,,0.00,0.00,0.00,0.00,0.00,6.85,0.00,07/07/2014
SC,20142015,77,0001,016,CHAP CENTER,49669,15.00,4,0.3636,8.10,,,,,,0.00,0.00,0.00,0.00,0.00,8.10,0.00,08/19/2015
SC,20152016,77,0001,016,CHAP CENTER,49652,17.80,5,0.5000,6.45,,,,,,0.00,0.00,0.50,0.00,0.00,5.95,0.00,11/16/2016
SC,20112012,77,0001,017,LEONARD LAWRENCE ELEM SCHOOL,51841,13.13,20,0.6667,26.99,,,,,,0.00,0.00,0.00,0.00,0.00,26.99,0.00,11/26/2012
SC,20122013,77,0001,017,LEONARD LAWRENCE ELEM SCHOOL,52016,12.87,21,0.7000,27.28,,,,,,0.00,0.00,0.00,0.00,0.00,27.28,0.00,07/05/2013
SC,20132014,77,0001,017,LEONARD LAWRENCE ELEM SCHOOL,53656,13.52,23,0.7419,28.20,,,,,,0.00,0.00,0.00,0.00,0.00,28.20,0.00,07/07/2014
SC,20142015,77,0001,017,LEONARD LAWRENCE ELEM SCHOOL,54450,14.06,23,0.7419,28.20,,,,,,0.00,0.00,0.00,0.00,0.00,28.20,0.00,08/19/2015
SC,20152016,77,0001,017,LEONARD LAWRENCE ELEM SCHOOL,53269,13.45,21,0.6774,28.20,,,,,,0.00,0.00,0.00,0.00,0.00,28.20,0.00,11/16/2016
SC,20112012,77,0001,018,TWO SPRINGS ELEMENTARY SCHOOL,50457,14.50,22,0.6875,28.99,,,,,,0.00,0.00,0.00,1.00,0.00,27.99,0.00,11/26/2012
SC,20122013,77,0001,018,TWO SPRINGS ELEMENTARY SCHOOL,49798,13.41,23,0.6765,30.78,,,,,,0.00,0.00,0.00,1.00,0.00,29.78,0.00,07/05/2013
SC,20132014,77,0001,018,TWO SPRINGS ELEMENTARY SCHOOL,51793,14.52,23,0.6970,29.95,,,,,,0.00,0.00,0.00,0.00,0.00,29.95,0.00,07/07/2014
SC,20142015,77,0001,018,TWO SPRINGS ELEMENTARY SCHOOL,54619,15.13,25,0.7813,28.00,,,,,,0.00,0.00,0.00,0.00,0.00,28.00,0.00,08/19/2015
SC,20152016,77,0001,018,TWO SPRINGS ELEMENTARY SCHOOL,52185,13.10,19,0.6552,25.25,,,,,,0.00,0.00,0.00,0.00,0.00,25.25,0.00,11/16/2016
SC,20112012,77,0001,019,FAIRVIEW ELEMENTARY SCHOOL,49236,11.55,17,0.5862,25.45,,,,,,0.00,0.00,2.00,0.50,0.00,22.95,0.00,11/26/2012
SC,20122013,77,0001,019,FAIRVIEW ELEMENTARY SCHOOL,51617,12.55,16,0.5517,26.28,,,,,,0.00,1.00,2.00,0.00,0.00,23.28,0.00,07/05/2013
SC,20132014,77,0001,019,FAIRVIEW ELEMENTARY SCHOOL,52262,12.97,19,0.6129,27.40,,,,,,0.00,1.00,1.00,0.00,0.00,25.40,0.00,07/07/2014
SC,20142015,77,0001,019,FAIRVIEW ELEMENTARY SCHOOL,54725,14.87,20,0.6452,27.70,,,,,,0.00,1.00,0.00,0.00,0.00,26.70,0.00,08/19/2015
SC,20152016,77,0001,019,FAIRVIEW ELEMENTARY SCHOOL,52680,13.32,19,0.6129,27.78,,,,,,0.00,1.00,0.00,1.00,0.00,25.78,0.00,11/16/2016
SC,20112012,77,0001,020,LEWIS & CLARK MIDDLE SCHOOL,51548,13.84,26,0.6842,35.34,,,,,,0.00,0.00,1.00,0.00,0.00,34.34,0.00,11/26/2012
SC,20122013,77,0001,020,LEWIS & CLARK MIDDLE SCHOOL,51009,11.95,26,0.6190,38.71,,,,,,0.00,0.00,1.00,0.00,0.00,37.71,0.00,07/05/2013
SC,20132014,77,0001,020,LEWIS & CLARK MIDDLE SCHOOL,52689,12.80,28,0.6829,38.52,,,,,,0.00,0.00,0.00,0.00,0.00,38.52,0.00,07/07/2014
SC,20142015,77,0001,020,LEWIS & CLARK MIDDLE SCHOOL,54491,13.57,30,0.7143,39.52,,,,,,0.00,0.00,0.00,0.00,0.00,39.52,0.00,08/19/2015
SC,20152016,77,0001,020,LEWIS & CLARK MIDDLE SCHOOL,54681,14.61,30,0.6818,40.82,,,,,,0.00,0.00,0.00,0.00,0.00,40.82,0.00,11/16/2016
SC,20112012,77,0001,021,BELLEVUE ELEMENTARY SCHOOL,51963,15.30,20,0.6667,27.23,,,,,,0.50,0.00,2.00,0.00,0.00,24.73,0.00,11/26/2012
SC,20122013,77,0001,021,BELLEVUE ELEMENTARY SCHOOL,53524,15.90,21,0.6774,26.78,,,,,,0.00,0.00,2.00,0.00,0.00,24.78,0.00,07/05/2013
SC,20132014,77,0001,021,BELLEVUE ELEMENTARY SCHOOL,54784,17.37,21,0.7000,27.20,,,,,,0.00,0.00,2.00,0.00,0.00,25.20,0.00,07/07/2014
SC,20142015,77,0001,021,BELLEVUE ELEMENTARY SCHOOL,56011,18.61,22,0.7097,27.70,,,,,,0.00,0.00,2.00,0.00,0.00,25.70,0.00,08/19/2015
SC,20152016,77,0001,021,BELLEVUE ELEMENTARY SCHOOL,56889,18.38,22,0.6875,28.28,,,,,,0.00,0.00,2.00,0.00,0.00,26.28,0.00,11/16/2016
DI,20112012,77,0027,000,PAPILLION-LA VISTA PUBLIC SCHS,48280,12.90,400,0.5874,677.19,,,,,,0.00,0.00,3.00,9.00,0.00,665.19,0.00,11/26/2012
DI,20122013,77,0027,000,PAPILLION-LA VISTA PUBLIC SCHS,48088,12.87,407,0.5950,679.31,,,,,,0.00,0.00,4.00,9.00,0.00,666.31,0.00,07/05/2013
DI,20132014,77,0027,000,PAPILLION-LA VISTA PUBLIC SCHS,49114,12.46,426,0.5900,717.66,,,,,,0.00,0.00,3.00,6.00,0.00,708.66,0.00,07/07/2014
DI,20142015,77,0027,000,PAPILLION-LA VISTA PUBLIC SCHS,50674,12.27,444,0.6000,733.35,,,,,,0.00,0.00,3.00,11.00,0.00,717.35,2.00,08/19/2015
DI,20152016,77,0027,000,PAPILLION-LA VISTA PUBLIC SCHS,52554,12.37,463,0.6116,751.38,,,,,,0.00,1.00,4.00,9.00,0.00,735.38,2.00,11/16/2016
SC,20112012,77,0027,001,PAPILLION-LA VISTA SENIOR HIGH,50645,15.41,73,0.6518,100.00,,,,,,0.00,0.00,0.00,1.00,0.00,99.00,0.00,11/26/2012
SC,20122013,77,0027,001,PAPILLION-LA VISTA SENIOR HIGH,50393,15.08,73,0.6460,101.80,,,,,,0.00,0.00,0.00,1.00,0.00,100.80,0.00,07/05/2013
SC,20132014,77,0027,001,PAPILLION-LA VISTA SENIOR HIGH,50582,14.36,75,0.6303,107.10,,,,,,0.00,0.00,0.00,1.00,0.00,106.10,0.00,07/07/2014
SC,20142015,77,0027,001,PAPILLION-LA VISTA SENIOR HIGH,51664,14.20,71,0.5966,106.19,,,,,,0.00,0.00,0.00,1.00,0.00,105.19,0.00,08/19/2015
SC,20152016,77,0027,001,PAPILLION-LA VISTA SENIOR HIGH,54711,15.12,75,0.6356,110.75,,,,,,0.00,0.00,1.00,0.00,0.00,109.75,0.00,11/16/2016
SC,20112012,77,0027,002,PAPILLION JUNIOR HIGH SCHOOL,53571,18.25,33,0.6471,48.75,,,,,,0.00,0.00,0.00,0.00,0.00,48.75,0.00,11/26/2012
SC,20122013,77,0027,002,PAPILLION JUNIOR HIGH SCHOOL,53177,17.42,31,0.6458,47.50,,,,,,0.00,0.00,0.00,0.00,0.00,47.50,0.00,07/05/2013
SC,20132014,77,0027,002,PAPILLION JUNIOR HIGH SCHOOL,53487,16.50,34,0.6800,49.50,,,,,,0.00,0.00,0.00,1.00,0.00,48.50,0.00,07/07/2014
SC,20142015,77,0027,002,PAPILLION JUNIOR HIGH SCHOOL,54485,16.70,36,0.6667,53.00,,,,,,0.00,0.00,0.00,1.00,0.00,52.00,0.00,08/19/2015
SC,20152016,77,0027,002,PAPILLION JUNIOR HIGH SCHOOL,54550,15.50,35,0.6481,53.00,,,,,,0.00,0.00,0.00,1.00,0.00,52.00,0.00,11/16/2016
SC,20112012,77,0027,003,G STANLEY HALL ELEMENTARY SCH,45322,11.03,17,0.5313,29.50,,,,,,0.00,0.00,0.00,1.00,0.00,28.50,0.00,11/26/2012
SC,20122013,77,0027,003,G STANLEY HALL ELEMENTARY SCH,44129,9.66,15,0.4688,27.49,,,,,,0.00,0.00,0.00,1.00,0.00,26.49,0.00,07/05/2013
SC,20132014,77,0027,003,G STANLEY HALL ELEMENTARY SCH,46121,9.47,16,0.5000,28.85,,,,,,0.00,0.00,0.00,1.00,0.00,27.85,0.00,07/07/2014
SC,20142015,77,0027,003,G STANLEY HALL ELEMENTARY SCH,46923,8.77,18,0.5143,30.60,,,,,,0.00,0.00,0.00,2.00,0.00,28.60,0.00,08/19/2015
SC,20152016,77,0027,003,G STANLEY HALL ELEMENTARY SCH,48702,9.03,18,0.5143,32.35,,,,,,0.00,0.00,0.00,2.00,0.00,30.35,0.00,11/16/2016
SC,20112012,77,0027,004,LA VISTA JUNIOR HIGH SCHOOL,48871,13.08,33,0.6600,48.00,,,,,,0.00,0.00,0.00,2.00,0.00,46.00,0.00,11/26/2012
SC,20122013,77,0027,004,LA VISTA JUNIOR HIGH SCHOOL,48933,13.47,34,0.6667,49.00,,,,,,0.00,0.00,0.00,2.00,0.00,47.00,0.00,07/05/2013
SC,20132014,77,0027,004,LA VISTA JUNIOR HIGH SCHOOL,49684,13.29,33,0.6735,48.50,,,,,,0.00,0.00,0.00,1.00,0.00,47.50,0.00,07/07/2014
SC,20142015,77,0027,004,LA VISTA JUNIOR HIGH SCHOOL,52269,13.65,36,0.6667,53.00,,,,,,0.00,0.00,0.00,1.00,0.00,51.00,1.00,08/19/2015
SC,20152016,77,0027,004,LA VISTA JUNIOR HIGH SCHOOL,54567,14.26,39,0.7222,53.50,,,,,,0.00,0.00,0.00,1.00,0.00,51.50,1.00,11/16/2016
SC,20112012,77,0027,005,LA VISTA WEST ELEMENTARY SCH,45405,10.32,14,0.5000,25.37,,,,,,0.00,0.00,0.00,1.00,0.00,24.37,0.00,11/26/2012
SC,20122013,77,0027,005,LA VISTA WEST ELEMENTARY SCH,46276,10.83,17,0.5667,26.38,,,,,,0.00,0.00,0.00,1.00,0.00,25.38,0.00,07/05/2013
SC,20132014,77,0027,005,LA VISTA WEST ELEMENTARY SCH,48982,12.03,16,0.5000,29.95,,,,,,0.00,0.00,0.00,0.00,0.00,29.95,0.00,07/07/2014
SC,20142015,77,0027,005,LA VISTA WEST ELEMENTARY SCH,50662,12.03,15,0.4545,30.05,,,,,,0.00,0.00,0.00,0.00,0.00,30.05,0.00,08/19/2015
SC,20152016,77,0027,005,LA VISTA WEST ELEMENTARY SCH,51908,12.18,18,0.5455,30.72,,,,,,0.00,0.00,0.00,0.00,0.00,30.72,0.00,11/16/2016
SC,20112012,77,0027,006,TARA HEIGHTS ELEMENTARY SCHOOL,49544,13.00,22,0.7586,27.28,,,,,,0.00,0.00,0.00,0.00,0.00,27.28,0.00,11/26/2012
SC,20122013,77,0027,006,TARA HEIGHTS ELEMENTARY SCHOOL,51532,14.17,23,0.7931,25.05,,,,,,0.00,0.00,0.00,0.00,0.00,25.05,0.00,07/05/2013
SC,20132014,77,0027,006,TARA HEIGHTS ELEMENTARY SCHOOL,51660,13.04,21,0.7778,24.45,,,,,,0.00,0.00,0.00,0.00,0.00,24.45,0.00,07/07/2014
SC,20142015,77,0027,006,TARA HEIGHTS ELEMENTARY SCHOOL,52112,12.67,19,0.6333,24.85,,,,,,0.00,0.00,0.10,0.00,0.00,24.75,0.00,08/19/2015
SC,20152016,77,0027,006,TARA HEIGHTS ELEMENTARY SCHOOL,54902,14.81,17,0.6296,24.48,,,,,,0.00,0.00,0.40,0.00,0.00,24.08,0.00,11/16/2016
SC,20112012,77,0027,007,TRUMBLE PARK ELEMENTARY SCHOOL,47178,13.63,11,0.4074,25.38,,,,,,0.00,0.00,0.00,0.00,0.00,25.38,0.00,11/26/2012
SC,20122013,77,0027,007,TRUMBLE PARK ELEMENTARY SCHOOL,48197,13.90,13,0.4483,25.58,,,,,,0.00,0.00,0.00,0.00,0.00,25.58,0.00,07/05/2013
SC,20132014,77,0027,007,TRUMBLE PARK ELEMENTARY SCHOOL,48243,12.18,16,0.5714,26.95,,,,,,0.00,0.00,0.00,0.00,0.00,26.95,0.00,07/07/2014
SC,20142015,77,0027,007,TRUMBLE PARK ELEMENTARY SCHOOL,50761,12.83,17,0.5862,27.45,,,,,,0.00,0.00,0.00,0.00,0.00,27.45,0.00,08/19/2015
SC,20152016,77,0027,007,TRUMBLE PARK ELEMENTARY SCHOOL,52928,13.41,18,0.6207,27.85,,,,,,0.00,0.00,0.00,0.00,0.00,27.85,0.00,11/16/2016
SC,20112012,77,0027,008,PARKVIEW HEIGHTS ELEM SCHOOL,48627,12.17,22,0.6111,31.97,,,,,,0.00,0.00,0.00,0.00,0.00,31.97,0.00,11/26/2012
SC,20122013,77,0027,008,PARKVIEW HEIGHTS ELEM SCHOOL,48591,12.76,21,0.6176,28.67,,,,,,0.00,0.00,0.00,0.00,0.00,28.67,0.00,07/05/2013
SC,20132014,77,0027,008,PARKVIEW HEIGHTS ELEM SCHOOL,51592,13.88,20,0.6250,30.35,,,,,,0.00,0.00,0.00,0.00,0.00,30.35,0.00,07/07/2014
SC,20142015,77,0027,008,PARKVIEW HEIGHTS ELEM SCHOOL,50762,11.69,19,0.5278,32.95,,,,,,0.00,0.00,0.00,0.00,0.00,32.95,0.00,08/19/2015
SC,20152016,77,0027,008,PARKVIEW HEIGHTS ELEM SCHOOL,52764,11.74,18,0.5143,33.35,,,,,,0.00,0.00,0.00,0.00,0.00,33.35,0.00,11/16/2016
SC,20112012,77,0027,009,CARRIAGE HILL ELEMENTARY SCH,48496,12.80,26,0.7429,31.50,,,,,,0.00,0.00,0.00,0.00,0.00,31.50,0.00,11/26/2012
SC,20122013,77,0027,009,CARRIAGE HILL ELEMENTARY SCH,46499,11.76,25,0.7353,29.22,,,,,,0.00,0.00,0.00,0.00,0.00,29.22,0.00,07/05/2013
SC,20132014,77,0027,009,CARRIAGE HILL ELEMENTARY SCH,48518,12.23,23,0.6571,31.95,,,,,,0.00,0.00,0.00,0.00,0.00,31.95,0.00,07/07/2014
SC,20142015,77,0027,009,CARRIAGE HILL ELEMENTARY SCH,50154,11.63,28,0.7000,34.35,,,,,,0.00,0.00,0.00,1.00,0.00,33.35,0.00,08/19/2015
SC,20152016,77,0027,009,CARRIAGE HILL ELEMENTARY SCH,50117,9.54,25,0.6410,33.85,,,,,,0.00,0.00,0.00,1.00,0.00,32.85,0.00,11/16/2016
SC,20112012,77,0027,010,GOLDEN HILLS ELEMENTARY SCHOOL,48567,12.44,21,0.8400,21.42,,,,,,0.00,0.00,0.00,1.00,0.00,20.42,0.00,11/26/2012
SC,20122013,77,0027,010,GOLDEN HILLS ELEMENTARY SCHOOL,47534,11.58,21,0.8077,21.14,,,,,,0.00,0.00,0.00,1.00,0.00,20.14,0.00,07/05/2013
SC,20132014,77,0027,010,GOLDEN HILLS ELEMENTARY SCHOOL,47659,11.24,18,0.7200,22.35,,,,,,0.00,0.00,0.00,0.00,0.00,22.35,0.00,07/07/2014
SC,20142015,77,0027,010,GOLDEN HILLS ELEMENTARY SCHOOL,48391,10.93,16,0.5714,23.90,,,,,,0.00,0.00,0.00,1.00,0.00,22.90,0.00,08/19/2015
SC,20152016,77,0027,010,GOLDEN HILLS ELEMENTARY SCHOOL,49381,9.03,15,0.5172,25.28,,,,,,0.00,0.00,0.00,1.00,0.00,24.28,0.00,11/16/2016
SC,20112012,77,0027,011,PORTAL ELEMENTARY SCHOOL,42843,9.17,11,0.3056,32.78,,,,,,0.00,0.00,0.90,1.00,0.00,30.88,0.00,11/26/2012
SC,20122013,77,0027,011,PORTAL ELEMENTARY SCHOOL,43537,9.97,15,0.3846,33.70,,,,,,0.00,0.00,0.90,1.00,0.00,31.80,0.00,07/05/2013
SC,20132014,77,0027,011,PORTAL ELEMENTARY SCHOOL,45689,10.92,14,0.3684,35.55,,,,,,0.00,0.00,1.00,1.00,0.00,33.55,0.00,07/07/2014
SC,20142015,77,0027,011,PORTAL ELEMENTARY SCHOOL,48054,11.39,16,0.4211,34.15,,,,,,0.00,0.00,0.90,1.00,0.00,32.25,0.00,08/19/2015
SC,20152016,77,0027,011,PORTAL ELEMENTARY SCHOOL,50216,12.24,12,0.4138,27.85,,,,,,0.00,1.00,0.60,1.00,0.00,25.25,0.00,11/16/2016
SC,20112012,77,0027,012,ANDERSON GROVE ELEMENTARY SCH,47251,11.37,11,0.5789,15.85,,,,,,0.00,0.00,1.00,0.00,0.00,14.85,0.00,11/26/2012
SC,20122013,77,0027,012,ANDERSON GROVE ELEMENTARY SCH,47416,11.70,13,0.6500,16.04,,,,,,0.00,0.00,1.00,0.00,0.00,15.04,0.00,07/05/2013
SC,20132014,77,0027,012,ANDERSON GROVE ELEMENTARY SCH,46761,10.10,10,0.4762,18.35,,,,,,0.00,0.00,1.00,0.00,0.00,17.35,0.00,07/07/2014
SC,20142015,77,0027,012,ANDERSON GROVE ELEMENTARY SCH,47476,9.14,13,0.5909,18.45,,,,,,0.00,0.00,1.00,0.00,0.00,17.45,0.00,08/19/2015
SC,20152016,77,0027,012,ANDERSON GROVE ELEMENTARY SCH,49631,9.62,13,0.6190,18.55,,,,,,0.00,0.00,1.00,0.00,0.00,17.55,0.00,11/16/2016
SC,20112012,77,0027,013,HICKORY HILL ELEMENTARY SCH,44501,8.16,16,0.6400,21.58,,,,,,0.00,0.00,0.00,0.00,0.00,21.58,0.00,11/26/2012
SC,20122013,77,0027,013,HICKORY HILL ELEMENTARY SCH,44619,8.41,17,0.6296,22.54,,,,,,0.00,0.00,0.00,0.00,0.00,22.54,0.00,07/05/2013
SC,20132014,77,0027,013,HICKORY HILL ELEMENTARY SCH,45344,8.15,15,0.5769,24.35,,,,,,0.00,0.00,0.00,0.00,0.00,24.35,0.00,07/07/2014
SC,20142015,77,0027,013,HICKORY HILL ELEMENTARY SCH,48771,8.81,19,0.7308,23.95,,,,,,0.00,0.00,0.00,1.00,0.00,22.95,0.00,08/19/2015
SC,20152016,77,0027,013,HICKORY HILL ELEMENTARY SCH,50624,9.15,19,0.7308,25.05,,,,,,0.00,0.00,0.00,1.00,0.00,24.05,0.00,11/16/2016
SC,20112012,77,0027,014,RUMSEY STATION ELEMENTARY SCH,47602,14.72,8,0.2759,27.38,,,,,,0.00,0.00,0.00,0.00,0.00,27.38,0.00,11/26/2012
SC,20122013,77,0027,014,RUMSEY STATION ELEMENTARY SCH,48136,15.52,10,0.3448,26.11,,,,,,0.00,0.00,0.00,0.00,0.00,26.11,0.00,07/05/2013
SC,20132014,77,0027,014,RUMSEY STATION ELEMENTARY SCH,48921,14.24,8,0.2759,27.85,,,,,,0.00,0.00,0.00,0.00,0.00,27.85,0.00,07/07/2014
SC,20142015,77,0027,014,RUMSEY STATION ELEMENTARY SCH,50239,13.07,10,0.3448,26.95,,,,,,0.00,0.00,0.00,0.00,0.00,26.95,0.00,08/19/2015
SC,20152016,77,0027,014,RUMSEY STATION ELEMENTARY SCH,52723,13.89,10,0.3704,25.85,,,,,,0.00,0.00,0.00,0.00,0.00,25.85,0.00,11/16/2016
